id,column,severity,description,rows_affected,pct_of_rows,recommended_action
M-03,CUISINE DESCRIPTION,High,"3,643 restaurants carry no cuisine label. Cuisine is the primary dimension of the Market Overview, so these gaps bias every category statistic.",3721,1.26,"Fill with an explicit 'UNKNOWN' rather than dropping, so the denominator stays honest, and state the exclusion wherever category shares are quoted."
O-02,INSPECTION DATE,High,"3,641 rows use 1900-01-01 as a placeholder. These rows have null ACTION, SCORE and VIOLATION, and the 3,641 restaurants involved appear nowhere else in the table — i.e. permitted but never-yet-inspected establishments, not corrupted dates.",3641,1.23,"Must be excluded from any trend or score analysis (otherwise the time axis stretches back to 1900), but retained for market-size counts — these are real, operating restaurants."
O-03,Latitude / Longitude,High,"3,048 rows carry (0, 0) coordinates, which would plot off the coast of Africa. Their BORO and address fields are intact — only geocoding is missing. A further 0 rows fall outside the NYC bounding box.",3048,1.03,"Convert (0,0) to NaN — it must never be treated as a valid location. Exclude from map layers while keeping the rows in borough-level statistics."
M-02,SCORE,Medium,"17,125 rows have no score; 13,484 of those have a non-null ACTION, meaning the inspection did occur but the score is absent.",17125,5.81,Do NOT fill with 0 — a score of 0 means 'flawless' and would understate risk badly. Keep NaN and average over de-duplicated inspection-level scores.
M-04,Latitude / Longitude / BBL,Medium,"1,701 rows have no coordinates and cannot be mapped.",1701,0.58,Exclude from map layers only; non-spatial cuisine and score analysis is unaffected. Optional fallback: ZIPCODE centroids.
D-01,whole table,Medium,"150 rows are exact duplicates across all 27 fields. The count matches the business-key duplicate count exactly, so these are pure re-entries with no hidden differences.",150,0.05,"Drop with drop_duplicates(), keeping the first. Very low risk."
F-01,BORO,Medium,"Capitalisation is in fact consistent — every value is standard Title Case (""Manhattan""), with no ""MANHATTAN""/""manhattan"" variants. The actual defect is 372 rows holding the placeholder ""0"", which is not a real borough.",372,0.13,"Map to ""Unknown"". Note that these rows have NO coordinates at all (0 usable), so a spatial join against the boundary file cannot recover them; only a ZIPCODE lookup could."
F-02,DBA / STREET,Medium,"Text fields carry casing and whitespace noise: normalising DBA collapses 82 duplicate trade names, and 39,344 STREET values contain consecutive spaces. Both break chain-brand identification and address matching.",39344,13.34,"Strip, collapse internal whitespace, uppercase. Retain the original trade name in a separate column for traceability."
O-01,SCORE,Medium,"1,907 rows score above 100 (max 214). DOHMH scores have no upper bound, and 75% of these records carry a closure order versus 4% overall — so most are genuine extreme violations, not entry errors.",1907,0.65,"Do not delete. Keep the raw value and add a winsorized column (99th percentile) for charting, so means are not dragged by the tail."
B-01,Shape_Area / Shape_Length,Low,"The boundary file is complete (5 rows, no missing values) and BoroName joins directly to the inspection data's BORO. The only defect: area and length carry thousands separators and are therefore parsed as strings rather than numbers.",0,0.0,Strip commas and cast to float on load; parse the_geom with shapely.wkt.loads for mapping.
M-01,GRADE / GRADE DATE,Low (structural),Over 50% of records carry no grade. Cross-tabulation confirms this follows DOHMH policy: only Cycle and Pre-permit inspections are graded. Not a data entry problem.,149921,50.82,"Keep as NaN, do not impute. Restrict grade-distribution analysis to gradeable inspection types so the denominator stays correct."
L-01,CAMIS vs attribute fields,Low (no defect),"Consistency check passes: BORO, CUISINE, DBA and ZIPCODE never conflict across the rows of a single CAMIS (0 conflicts in total). Restaurant master data is reliable and can safely be aggregated by CAMIS.",0,0.0,"No action needed. When building the restaurant dimension table, any row's attributes will do — no conflict resolution required."
